REGION;2010;2011;2012;2013;2014;2015;2016;2017;2018
Челябинская область;652865,5;774401;841972,3;882339,6;993900,6;1209242,7;1271133,1;1353119,5;1473727,8
Ханты-Мансийский автономный округ-Югра;1971870,5;2440432,6;2703558,8;2729122,4;2860498,9;3154058,7;3068148,5;3492525,1;4447475,7
Ямало-Ненецкий автономный округ;782214,9;966110,4;1191271,9;1375878,8;1633382,2;1791825,6;2025508,1;2453551,7;3083544,5
Республика Алтай;22393,7;26380,8;30444,6;33313,5;39191,9;42165,7;44264,7;44897,9;50566,8
Республика Бурятия;133525,6;153624,1;164737,8;176888,9;186492,9;202823,4;198230,1;201614,7;226134,7
Республика Тыва;30772,8;33398,9;37369,1;41298,7;45947,9;47289,6;52769,4;59446,3;68774
Республика Хакасия;96039,8;113088,1;130638,5;141850,5;158372,8;170413,1;196321,7;207531,3;235310,9
Алтайский край;302900,7;332117,8;368995,2;416110,3;446023,8;487903,3;501889,3;513463,9;549972,9
Красноярский край;1055525;1170827,3;1183228;1256934,1;1410719,9;1667041,1;1745743,2;1899226;2280025,9
Иркутская область;546141;634561,4;737971,6;805197,5;916317,5;1001717,6;1066420,7;1194672,4;1392934,8
Кемеровская область;625914,9;751198,4;718320,4;667950,5;752024;843345,4;865325,3;1058430,4;1241598,6
Новосибирская область;484141,3;598563,5;728154;817516,7;911219;1021642,9;1046879;1148427,6;1252258,7
Омская область;382620,4;451418,8;491507,6;551734;602605,1;618127,7;621502,8;650308,7;681619,5
Томская область;284676,7;333885,7;371472,9;402562,1;430266,8;471456,7;480156,3;510949,9;579363,4
Забайкальский край;166742,5;203869;223968,8;229239,4;234840,8;247666,2;277100,5;301050,5;326865,7
Республика Саха (Якутия);386825,1;486830,9;541306,8;570284,7;658140,4;747601,7;862694,6;916684,5;1084556,2
Приморский край;470679,2;549722,8;557489,3;577473,9;642423;717609,9;739244,3;776336,7;834023,4
Хабаровский край;353590,3;399594,2;437994,3;498067,2;539338,4;595792,3;627406,5;648395,1;710639,6
Амурская область;178689,6;225401,7;229407,1;210700,9;232053;277380,4;271096,5;270474,3;301069,4
Камчатский край;103123,2;114375,9;127412,7;133364;145761,3;175404,8;197067,5;201967,9;236483,5
Магаданская область;59619,7;72174,2;78417,9;88905,9;96936,8;125798,3;148387,2;156829,9;170723,4
Сахалинская область;487659,5;600247,9;641886,4;671743,6;799165,4;837495,2;748695,8;769248,7;1179668,7
Еврейская автономная область;31555,9;39467;42743,6;38428,7;41948,1;44554,8;46014,5;52747,9;55808,8
Чукотский автономный округ;38978,1;44757,6;45633,9;44466,9;57751,3;61735,5;67704,8;68242,6;78143,4
